uri,prefLabel,prefLabel_en,casNumber,ecNumber,altLabel,altLabel_en,comment,definition,broader,broadMatch,collections,exactMatch,narrowMatch,notation,pubchem,source,theme,topConceptOf,inScheme,belongsTo,validatiestatus
apeo_c10,Alkylfenolethoxylaat C10,,,,,,,,,,collectie:water,,,APEO C10,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c11,Alkylfenolethoxylaat C11,,,,,,,,,,collectie:water,,,APEO C11,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c12,Alkylfenolethoxylaat C12,,,,,,,,,,collectie:water,,,APEO C12,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c13,Alkylfenolethoxylaat C13,,,,,,,,,,collectie:water,,,APEO C13,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c14,Alkylfenolethoxylaat C14,,,,,,,,,,collectie:water,,,APEO C14,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c15,Alkylfenolethoxylaat C15,,,,,,,,,,collectie:water,,,APEO C15,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c16,Alkylfenolethoxylaat C16,,,,,,,,,,collectie:water,,,APEO C16,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c17,Alkylfenolethoxylaat C17,,,,,,,,,,collectie:water,,,APEO C17,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c18,Alkylfenolethoxylaat C18,,,,,,,,,,collectie:water,,,APEO C18,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c19,Alkylfenolethoxylaat C19,,,,,,,,,,collectie:water,,,APEO C19,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c6,Alkylfenolethoxylaat C6,,,,,,,,,,collectie:water,,,APEO C6,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c7,Alkylfenolethoxylaat C7,,,,,,,,,,collectie:water,,,APEO C7,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
apeo_c8,Alkylfenolethoxylaat C8,,,,,,,,,,collectie:water,,,APEO C8,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
